isotope,A  ,quadrupole,name        ,Z ,symbol,abundance,stability  ,gn        ,spin
202Hg  ,202,0         ,mercury     ,80,Hg    ,29.86    ,stable     ,0.0       ,0.0
196Pt  ,196,0         ,platinum    ,78,Pt    ,25.242   ,stable     ,0.0       ,0.0
3He    ,3  ,0         ,helium      ,2 ,He    ,0.000137 ,stable     ,-4.255248 ,0.5
55Mn   ,55 ,0.33      ,manganese   ,25,Mn    ,100.0    ,stable     ,1.3819    ,2.5
160Gd  ,160,0         ,gadolinium  ,64,Gd    ,21.86    ,stable     ,0.0       ,0.0
87Sr   ,87 ,0.335     ,strontium   ,38,Sr    ,7.0      ,stable     ,-0.24291  ,4.5
180Ta  ,180,0         ,tantalum    ,73,Ta    ,0.012    ,stable     ,0.0       ,0.0
146Nd  ,146,0         ,neodymium   ,60,Nd    ,17.2     ,stable     ,0.0       ,0.0
132Xe  ,132,0         ,xenon       ,54,Xe    ,26.89    ,stable     ,0.0       ,0.0
141Pr  ,141,-0.0589   ,praesodymium,59,Pr    ,100.0    ,stable     ,1.6       ,2.5
144Nd  ,144,0         ,neodymium   ,60,Nd    ,23.8     ,stable     ,0.0       ,0.0
92Zr   ,92 ,0         ,zirconium   ,40,Zr    ,17.15    ,stable     ,0.0       ,0.0
19F    ,19 ,0         ,fluorine    ,9 ,F     ,100.0    ,stable     ,5.257732  ,0.5
124Te  ,124,0         ,tellurium   ,52,Te    ,4.74     ,stable     ,0.0       ,0.0
155Gd  ,155,1.27      ,gadolinium  ,64,Gd    ,14.8     ,stable     ,-0.1723   ,1.5
14N    ,14 ,0.02044   ,nitrogen    ,7 ,N     ,99.632   ,stable     ,0.4037607 ,1.0
20Ne   ,20 ,0         ,neon        ,10,Ne    ,90.48    ,stable     ,0.0       ,0.0
140Ce  ,140,0         ,cerium      ,58,Ce    ,88.45    ,stable     ,0.0       ,0.0
229Th  ,229,4.3       ,thorium     ,90,Th    ,0.0      ,radioactive,0.16      ,2.5
198Pt  ,198,0         ,platinum    ,78,Pt    ,7.163    ,stable     ,0.0       ,0.0
60Co   ,60 ,0.44      ,cobalt      ,27,Co    ,0.0      ,radioactive,0.7589    ,5.0
159Tb  ,159,1.432     ,terbium     ,65,Tb    ,100.0    ,stable     ,1.342     ,1.5
106Pd  ,106,0         ,palladium   ,46,Pd    ,27.33    ,stable     ,0.0       ,0.0
133Cs  ,133,-0.00343  ,caesium     ,55,Cs    ,100.0    ,stable     ,0.7378377 ,3.5
88Sr   ,88 ,0         ,strontium   ,38,Sr    ,82.58    ,stable     ,0.0       ,0.0
235U   ,235,4.936     ,uranium     ,92,U     ,0.72     ,radioactive,-1.09     ,3.5
125Sb  ,125,nan       ,antimony    ,51,Sb    ,0.0      ,radioactive,0.7514    ,3.5
101Ru  ,101,0.457     ,ruthenium   ,44,Ru    ,17.06    ,stable     ,-0.279    ,2.5
134Cs  ,134,0.389     ,caesium     ,55,Cs    ,0.0      ,radioactive,0.74842   ,4.0
58Ni   ,58 ,0         ,nickel      ,28,Ni    ,68.0769  ,stable     ,0.0       ,0.0
80Kr   ,80 ,0         ,krypton     ,36,Kr    ,2.28     ,stable     ,0.0       ,0.0
196Hg  ,196,0         ,mercury     ,80,Hg    ,0.15     ,stable     ,0.0       ,0.0
110Pd  ,110,0         ,palladium   ,46,Pd    ,11.72    ,stable     ,0.0       ,0.0
70Zn   ,70 ,0         ,zinc        ,30,Zn    ,0.62     ,stable     ,0.0       ,0.0
107Ag  ,107,0         ,silver      ,47,Ag    ,51.839   ,stable     ,-0.227249 ,0.5
170Yb  ,170,0         ,ytterbium   ,70,Yb    ,3.04     ,stable     ,0.0       ,0.0
41K    ,41 ,0.0711    ,potassium   ,19,K     ,6.7302   ,stable     ,0.1432542 ,1.5
122Te  ,122,0         ,tellurium   ,52,Te    ,2.55     ,stable     ,0.0       ,0.0
82Kr   ,82 ,0         ,krypton     ,36,Kr    ,11.58    ,stable     ,0.0       ,0.0
96Zr   ,96 ,0         ,zirconium   ,40,Zr    ,2.8      ,stable     ,0.0       ,0.0
128Xe  ,128,0         ,xenon       ,54,Xe    ,1.92     ,stable     ,0.0       ,0.0
170Er  ,170,0         ,erbium      ,68,Er    ,14.93    ,stable     ,0.0       ,0.0
39K    ,39 ,0.0585    ,potassium   ,19,K     ,93.2581  ,stable     ,0.2609909 ,1.5
147Pm  ,147,0.74      ,promethium  ,61,Pm    ,0.0      ,radioactive,0.752     ,3.5
